area_code,area_name,measure,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E0600020,Kingston upon Hull,employment_rate,68.305,72.143,71.556,71.645,72.648,71.992,70.897,72.156,71.766,72.952,69.937,73.852
E0600020,Kingston upon Hull,claimant_count_rate,4.988,4.597,4.385,4.727,4.018,3.765,3.294,4.195,3.200,3.935,5.735,2.781
E0600020,Kingston upon Hull,qualification_level4_pct,21.845,23.894,25.852,23.146,25.219,24.269,25.514,27.271,29.250,27.609,28.204,30.496
E0600020,Kingston upon Hull,working_age_share_pct,63.451,62.810,63.046,62.959,0.630,0.628,0.626,62.768,62.954,62.114,62.166,62.766
E0600021,Leeds,unemployment_rate,4.647,4.557,4.378,4.590,5.387,4.620,3.736,5.340,3.895,3.375,5.311,4.722
E0600021,Leeds,economic_inactivity_rate,21.420,21.496,20.231,20.010,20.858,19.830,22.101,18.900,18.851,20.599,20.043,21.087
E0600021,Leeds,employment_rate,73.708,74.272,75.415,75.265,73.234,75.577,73.060,74.556,77.044,75.712,74.864,75.249
E0600021,Leeds,claimant_count_rate,2.435,2.123,2.436,2.780,4.023,2.440,2.332,2.758,2.254,2.096,3.526,2.931
E0600021,Leeds,qualification_level4_pct,24.449,24.939,24.816,23.954,26.001,28.201,29.121,29.321,27.132,28.773,31.422,31.329
E0600021,Leeds,working_age_share_pct,63.703,63.564,63.683,62.969,0.639,0.633,0.636,63.764,63.394,63.385,63.649,63.133
E0600022,North East Lincolnshire,unemployment_rate,4.534,4.811,4.057,3.468,3.852,3.401,2.914,2.510,3.560,3.579,..,3.057
E0600022,North East Lincolnshire,economic_inactivity_rate,16.816,19.196,18.690,18.899,18.197,19.583,17.609,18.630,16.842,17.696,18.609,17.341
E0600022,North East Lincolnshire,employment_rate,79.505,75.604,77.209,78.209,78.302,77.365,80.466,79.283,80.136,78.406,78.137,80.148
E0600022,North East Lincolnshire,claimant_count_rate,2.018,2.120,1.270,2.185,1.714,0.906,1.148,0.350,1.208,1.563,1.487,0.827
E0600022,North East Lincolnshire,qualification_level4_pct,24.758,25.545,28.208,28.083,28.125,26.276,31.256,27.835,31.108,33.321,32.496,34.205
E0600022,North East Lincolnshire,working_age_share_pct,64.064,64.206,64.169,64.188,0.634,0.639,0.642,64.152,64.182,63.548,63.581,64.048
E0600023,Sheffield,unemployment_rate,8.621,8.646,7.870,7.521,6.256,7.938,7.794,5.721,6.153,7.200,9.771,6.800
E0600023,Sheffield,economic_inactivity_rate,26.482,25.654,24.668,25.535,26.826,25.097,24.748,25.321,26.485,26.041,25.794,23.324
E0600023,Sheffield,employment_rate,63.415,64.632,67.481,67.173,66.716,66.899,67.789,68.136,66.989,66.433,64.150,70.475
E0600023,Sheffield,claimant_count_rate,6.282,6.378,5.750,5.465,5.059,6.388,5.826,5.065,4.176,5.772,7.070,5.688
E0600023,Sheffield,qualification_level4_pct,15.485,18.734,20.740,17.981,20.656,22.797,19.651,24.923,22.230,25.035,25.084,26.069
E0600023,Sheffield,working_age_share_pct,63.772,63.562,63.728,63.355,0.637,0.636,0.631,63.500,64.048,63.192,63.138,63.360
E0600024,York,unemployment_rate,6.109,5.834,6.025,6.764,5.649,6.769,5.705,6.992,..,8.381,7.095,5.753
E0600024,York,economic_inactivity_rate,19.318,20.319,23.539,21.729,21.128,21.088,20.836,21.236,20.532,20.508,22.795,21.500
E0600024,York,employment_rate,75.180,75.112,70.971,71.308,73.915,72.945,74.793,72.008,74.415,70.861,70.821,72.820
E0600024,York,claimant_count_rate,3.521,4.436,4.538,4.791,4.306,4.913,3.905,5.254,4.069,6.340,5.885,4.402
E0600024,York,qualification_level4_pct,23.286,26.866,29.105,26.767,27.627,30.707,32.607,30.561,33.292,32.044,33.801,30.100
E0600024,York,working_age_share_pct,64.025,63.911,63.859,63.605,0.634,0.635,0.636,62.882,62.847,63.331,62.990,62.964
E0600025,Derby,unemployment_rate,4.972,2.799,3.908,4.570,5.388,5.001,4.145,4.943,3.666,5.490,5.076,5.001
E0600025,Derby,economic_inactivity_rate,22.452,19.539,21.494,21.088,21.400,20.610,20.603,20.332,20.238,21.299,20.497,20.149
E0600025,Derby,employment_rate,73.370,78.109,74.993,73.987,73.298,75.362,75.802,74.251,75.829,72.616,74.433,74.977
E0600025,Derby,claimant_count_rate,2.566,1.256,1.809,2.226,2.987,2.305,2.612,2.310,1.527,2.984,3.106,2.371
E0600025,Derby,qualification_level4_pct,21.995,21.063,22.546,22.725,23.513,24.859,25.517,26.030,27.098,28.508,27.983,30.498
E0600025,Derby,working_age_share_pct,63.855,63.686,63.297,63.626,0.630,0.629,0.633,62.763,63.815,62.892,63.305,63.015
E0600026,Leicester,unemployment_rate,7.441,6.753,6.914,8.297,7.249,6.721,6.018,5.665,4.922,6.036,7.815,6.894
E0600026,Leicester,economic_inactivity_rate,19.839,17.274,19.837,20.312,21.578,18.267,20.851,22.269,21.331,20.802,21.981,18.350
E0600026,Leicester,employment_rate,73.186,76.659,73.312,70.926,71.032,74.633,73.272,72.053,73.395,73.481,71.370,74.926
E0600026,Leicester,claimant_count_rate,4.590,4.056,4.008,5.301,4.435,4.715,4.514,3.749,3.545,3.539,5.440,4.180
E0600026,Leicester,qualification_level4_pct,23.577,25.374,27.292,27.109,26.253,29.304,26.677,28.914,32.632,30.911,29.617,31.901
E0600026,Leicester,working_age_share_pct,62.531,61.704,62.305,61.793,0.616,0.619,0.615,62.068,61.635,61.646,61.462,61.262
E0600027,Lincoln,unemployment_rate,7.980,8.533,7.690,6.331,7.570,7.453,6.564,5.666,6.932,5.941,8.092,6.487
E0600027,Lincoln,economic_inactivity_rate,23.553,24.558,25.368,22.429,22.494,25.466,22.089,23.708,23.639,24.311,22.651,24.210
E0600027,Lincoln,employment_rate,68.047,67.905,66.916,73.025,70.112,67.082,70.828,70.979,69.170,69.320,69.633,69.890
E0600027,Lincoln,claimant_count_rate,6.720,6.625,6.300,5.122,6.367,6.167,4.990,4.599,5.652,4.796,6.523,5.613
E0600027,Lincoln,qualification_level4_pct,21.034,23.973,22.631,24.974,25.367,25.968,25.531,27.118,25.643,27.802,27.900,28.724
E0600027,Lincoln,working_age_share_pct,63.264,63.423,63.361,63.857,0.633,0.636,0.635,62.968,63.509,63.129,63.358,63.603
E0600028,Nottingham,unemployment_rate,5.569,7.165,6.532,6.357,5.591,6.472,5.023,5.835,4.764,5.789,6.638,4.108
E0600028,Nottingham,economic_inactivity_rate,16.955,18.376,18.204,17.953,18.884,18.184,18.046,18.428,18.393,18.501,17.692,19.649
E0600028,Nottingham,employment_rate,78.298,74.231,75.129,76.389,75.635,75.207,75.443,75.788,77.034,76.103,75.973,76.343
E0600028,Nottingham,claimant_count_rate,3.697,4.073,3.970,4.230,3.632,3.894,3.397,4.029,2.716,3.671,4.685,1.905
E0600028,Nottingham,qualification_level4_pct,31.611,30.997,29.092,33.344,30.553,33.183,33.844,34.454,35.793,37.982,37.891,37.297
E0600028,Nottingham,working_age_share_pct,62.826,63.182,62.929,62.904,0.629,0.625,0.629,62.549,62.561,62.371,62.704,62.872
E0600029,North Northamptonshire,unemployment_rate,2.858,2.579,3.558,2.487,2.714,2.862,3.050,2.237,1.498,1.903,3.240,2.148
E0600029,North Northamptonshire,economic_inactivity_rate,16.200,16.583,17.517,15.493,17.031,19.055,15.768,15.917,16.386,16.760,15.379,16.383
E0600029,North Northamptonshire,employment_rate,81.646,79.418,78.684,81.914,79.681,78.120,81.887,81.191,82.993,81.614,81.780,82.281
E0600029,North Northamptonshire,claimant_count_rate,1.134,0.141,1.153,0.100,0.382,0.100,1.304,0.272,0.100,0.100,0.740,0.679
E0600029,North Northamptonshire,qualification_level4_pct,27.316,27.978,26.587,26.930,27.419,29.457,29.484,31.405,32.139,32.830,34.441,35.536
E0600029,North Northamptonshire,working_age_share_pct,64.657,64.622,63.657,64.330,0.641,0.637,0.636,63.708,63.445,63.261,63.633,63.732
E0600030,Rutland,unemployment_rate,7.178,7.481,6.230,7.747,6.375,5.975,5.867,6.889,7.325,6.502,8.023,5.758
E0600030,Rutland,economic_inactivity_rate,20.981,21.922,21.464,21.415,21.965,19.514,21.174,20.933,21.936,22.135,19.366,21.392
E0600030,Rutland,employment_rate,70.923,70.527,73.047,70.054,72.829,74.574,72.636,71.291,71.387,70.359,70.646,73.777
E0600030,Rutland,claimant_count_rate,5.745,5.756,4.924,5.245,4.678,4.613,4.236,4.181,5.274,4.597,6.056,4.162
E0600030,Rutland,qualification_level4_pct,26.307,25.898,26.701,26.884,27.846,28.989,27.621,28.245,29.670,29.512,32.414,32.086
E0600030,Rutland,working_age_share_pct,63.569,63.159,63.802,63.263,0.633,0.633,0.625,62.842,63.089,63.125,63.071,62.377
E0600031,South Derbyshire,unemployment_rate,9.604,8.001,8.093,8.346,7.510,7.483,7.627,7.100,6.129,7.462,7.445,7.091
E0600031,South Derbyshire,economic_inactivity_rate,22.792,22.489,24.086,23.368,20.842,23.196,20.998,22.846,19.092,21.431,22.268,20.654
E0600031,South Derbyshire,employment_rate,68.276,69.256,68.123,68.876,72.401,69.494,72.670,69.129,74.096,70.739,70.899,72.274
E0600031,South Derbyshire,claimant_count_rate,6.211,6.332,6.263,6.023,5.602,5.728,6.381,5.468,4.986,5.814,5.709,5.481
E0600031,South Derbyshire,qualification_level4_pct,24.103,24.658,22.597,27.418,25.767,26.377,27.807,30.369,32.383,30.362,29.569,30.006
E0600031,South Derbyshire,working_age_share_pct,62.454,63.199,62.563,62.655,0.625,0.619,0.630,62.271,62.571,62.062,62.225,62.461
E0600032,West Northamptonshire,unemployment_rate,7.873,8.878,7.874,7.171,8.169,6.947,7.796,7.248,6.708,6.477,6.449,6.947
E0600032,West Northamptonshire,economic_inactivity_rate,21.541,21.719,22.536,23.256,24.238,22.461,20.448,23.451,22.576,20.554,20.565,23.943
E0600032,West Northamptonshire,employment_rate,70.271,68.630,69.627,68.678,68.050,70.533,71.245,68.970,70.955,74.029,73.079,70.161
E0600032,West Northamptonshire,claimant_count_rate,6.692,7.081,5.688,5.842,5.906,5.368,6.386,5.858,5.564,4.789,4.874,5.983
E0600032,West Northamptonshire,qualification_level4_pct,27.223,29.506,25.718,28.715,28.336,29.955,30.296,30.647,33.652,30.344,30.340,33.596
E0600032,West Northamptonshire,working_age_share_pct,64.511,63.824,64.132,64.329,0.643,0.639,0.638,63.994,63.359,64.091,63.319,63.662
E0600033,Birmingham,unemployment_rate,11.600,12.115,11.817,13.199,11.466,11.977,11.894,12.062,11.763,12.690,11.188,10.388
E0600033,Birmingham,economic_inactivity_rate,27.051,27.609,29.149,26.383,27.954,28.038,25.520,27.465,27.603,25.245,27.227,27.720
E0600033,Birmingham,employment_rate,60.665,59.748,60.207,60.931,61.630,59.077,61.425,60.134,60.438,62.399,62.078,61.276
E0600033,Birmingham,claimant_count_rate,10.619,11.156,10.875,11.632,9.980,10.561,9.991,10.459,10.346,11.552,10.146,9.514
E0600033,Birmingham,qualification_level4_pct,23.766,24.683,23.869,25.737,24.191,26.031,28.438,29.548,30.407,28.264,30.449,30.568
E0600033,Birmingham,working_age_share_pct,62.404,62.473,62.308,61.523,0.610,0.620,0.616,61.520,61.991,62.239,61.538,61.609
E0600035,Dudley,unemployment_rate,6.495,6.362,5.664,4.927,4.597,5.492,4.219,3.678,6.161,5.563,6.960,4.445
E0600035,Dudley,economic_inactivity_rate,24.853,21.832,22.014,21.319,24.588,22.112,21.491,20.084,22.615,21.889,21.842,23.919
E0600035,Dudley,employment_rate,67.843,71.951,72.202,73.111,70.413,72.822,74.613,76.523,70.332,73.440,70.246,72.006
E0600035,Dudley,claimant_count_rate,4.259,4.572,4.440,3.864,3.265,3.985,2.811,2.223,4.164,3.916,5.108,3.220
E0600035,Dudley,qualification_level4_pct,24.439,21.712,24.494,26.027,25.168,24.753,27.738,26.536,28.615,30.976,30.011,32.247
E0600035,Dudley,working_age_share_pct,63.774,64.157,63.700,64.087,0.634,0.636,0.634,63.804,63.791,63.621,64.384,63.356
E0600037,Sandwell,unemployment_rate,8.793,8.690,8.560,9.003,8.271,7.136,8.327,7.569,7.508,7.051,8.819,7.502
E0600037,Sandwell,economic_inactivity_rate,25.595,25.443,25.714,27.079,26.038,25.251,24.484,25.864,24.359,24.378,22.414,24.705
E0600037,Sandwell,employment_rate,66.077,65.118,64.935,63.153,65.624,67.970,67.239,66.018,67.453,68.630,69.548,66.550
E0600037,Sandwell,claimant_count_rate,7.744,6.596,6.850,7.282,6.425,6.389,6.953,6.156,6.100,5.756,7.030,5.993
E0600037,Sandwell,qualification_level4_pct,21.902,21.361,23.251,22.280,23.223,26.333,24.320,26.033,26.319,26.567,28.973,28.458
E0600037,Sandwell,working_age_share_pct,62.764,63.924,63.186,63.039,0.627,0.624,0.632,63.455,63.292,62.737,62.696,62.141
E0600038,Shropshire,unemployment_rate,4.590,4.636,4.808,5.589,3.391,4.889,3.409,4.509,4.562,3.005,5.327,3.805
E0600038,Shropshire,economic_inactivity_rate,21.045,21.333,19.168,19.256,20.285,19.766,18.879,18.923,21.090,18.207,21.263,20.629
E0600038,Shropshire,employment_rate,74.576,73.925,75.782,75.409,76.635,76.476,77.918,76.128,74.334,79.121,73.877,75.920
E0600038,Shropshire,claimant_count_rate,2.860,2.607,2.647,3.013,2.147,2.608,1.117,2.095,2.425,1.598,3.264,2.226
E0600038,Shropshire,qualification_level4_pct,22.341,22.981,25.997,25.919,27.138,27.953,28.448,27.742,29.004,29.568,30.461,30.876
E0600038,Shropshire,working_age_share_pct,63.419,63.620,63.834,63.197,0.641,0.636,0.634,63.943,63.869,62.913,62.847,63.328
E0600040,Wolverhampton,unemployment_rate,3.212,3.721,2.921,2.772,3.267,1.830,2.770,2.567,2.301,2.906,3.734,2.152
E0600040,Wolverhampton,economic_inactivity_rate,18.517,18.725,17.711,17.153,18.348,18.602,17.878,18.390,17.933,17.474,16.623,18.386
E0600040,Wolverhampton,employment_rate,78.621,77.516,79.110,80.333,78.469,80.032,78.639,79.738,79.995,79.747,81.735,79.604
E0600040,Wolverhampton,claimant_count_rate,0.936,1.343,1.019,0.629,1.225,0.100,0.495,0.526,0.176,0.481,0.957,0.100
E0600040,Wolverhampton,qualification_level4_pct,23.456,24.074,22.514,29.125,27.699,26.554,29.438,31.600,30.348,30.265,30.357,31.831
E0600040,Wolverhampton,working_age_share_pct,63.554,64.369,64.119,64.603,0.641,0.639,0.645,63.858,64.193,63.875,63.646,63.210
E0600041,Bedford,unemployment_rate,5.480,4.947,5.341,4.002,3.791,3.285,4.584,3.529,3.415,4.233,5.494,3.119
E0600041,Bedford,economic_inactivity_rate,19.300,21.099,20.514,19.489,21.921,22.084,18.301,19.849,19.718,20.523,20.058,21.576
E0600041,Bedford,employment_rate,75.806,72.858,74.014,76.308,74.648,74.907,78.143,77.576,77.325,74.536,73.726,75.611
E0600041,Bedford,claimant_count_rate,3.423,2.483,3.449,2.137,1.809,1.722,2.766,2.222,2.029,2.380,3.077,1.626
E0600041,Bedford,qualification_level4_pct,22.969,23.953,24.774,24.239,24.670,26.575,27.583,26.173,28.660,28.809,32.641,30.219
